face_width,face_length,forehead_width,jaw_width_est,ratio_len_width,ratio_jaw_forehead,face_shape
243.53753493261462,311.39341381628174,203.26558556885144,219.18378143935317,1.2786259523560362,1.0783122964354315,oval
227.57459795037582,274.27733373374093,188.5390899210005,204.81713815533823,1.2052194533079192,1.086337783611985,square
151.89650670366333,202.44596926653372,130.90048556155182,136.70685603329702,1.3327888331803384,1.0443571267324123,oval
304.8037534458026,349.75807037020553,243.22087604027269,274.3233781012224,1.1474860964430682,1.1278775960330072,square
324.37218957600805,381.93702071064604,274.74354488165574,291.93497061840725,1.1774653678924094,1.0625726245236589,round
237.62619465539345,288.3185117869367,196.98358444253736,213.86357518985412,1.2133279792311176,1.085692367256869,square
163.9813368846941,185.07573679453992,135.02738062597743,147.58320319622467,1.1286390218664923,1.0929872253986719,square
163.9813368846941,185.07573679453992,135.02738062597743,147.58320319622467,1.1286390218664923,1.0929872253986719,square
227.57459795037582,274.27733373374093,188.5390899210005,204.81713815533823,1.2052194533079192,1.086337783611985,square
151.89650670366333,202.44596926653372,130.90048556155182,136.70685603329702,1.3327888331803384,1.0443571267324123,oval
237.62619465539345,288.3185117869367,196.98358444253736,213.86357518985412,1.2133279792311176,1.085692367256869,square
163.9813368846941,185.07573679453992,135.02738062597743,147.58320319622467,1.1286390218664923,1.0929872253986719,square
163.9813368846941,185.07573679453992,135.02738062597743,147.58320319622467,1.1286390218664923,1.0929872253986719,square
228.57952160169643,286.40659683855404,192.44897971402443,205.72156944152678,1.2529844912556853,1.068966791501095,oval
241.9027494813561,285.49718622736407,201.65221206695975,217.7124745332205,1.1802147171095017,1.079643368262603,square
